iter	Passed	Remaining
0	101	81088
1	134	53842
2	166	44117
3	201	40152
4	230	36670
5	256	33990
6	290	32952
7	321	31795
8	344	30297
9	369	29189
10	394	28297
11	421	27667
12	452	27397
13	494	27768
14	523	27380
15	600	29430
16	651	29999
17	684	29747
18	718	29520
19	748	29177
20	771	28616
21	794	28078
22	817	27630
23	843	27283
24	870	26976
25	893	26608
26	915	26209
27	937	25854
28	963	25616
29	986	25324
30	1010	25063
31	1031	24767
32	1054	24514
33	1078	24293
34	1103	24119
35	1135	24102
36	1165	24036
37	1194	23944
38	1226	23932
39	1259	23924
40	1286	23814
41	1322	23875
42	1350	23766
43	1375	23629
44	1398	23458
45	1421	23295
46	1455	23313
47	1480	23198
48	1503	23038
49	1525	22885
50	1558	22883
51	1592	22900
52	1619	22827
53	1682	23236
54	1706	23111
55	1727	22951
56	1749	22805
57	1776	22730
58	1799	22605
59	1822	22471
60	1843	22335
61	1865	22207
62	1887	22076
63	1909	21958
64	1931	21840
65	1955	21746
66	1976	21627
67	1999	21525
68	2022	21428
69	2046	21345
70	2071	21267
71	2106	21300
72	2149	21411
73	2180	21390
74	2208	21351
75	2235	21296
76	2284	21448
77	2317	21450
78	2350	21448
79	2385	21471
80	2487	22081
81	2521	22074
82	2552	22046
83	2586	22043
84	2619	22033
85	2650	22003
86	2679	21956
87	2707	21905
88	2733	21834
89	2760	21776
90	2789	21733
91	2817	21684
92	2847	21649
93	2879	21625
94	2906	21571
95	2935	21530
96	2965	21493
97	2998	21481
98	3030	21456
99	3136	21954
100	3164	21901
101	3200	21902
102	3224	21821
103	3279	21947
104	3319	21969
105	3343	21893
106	3366	21801
107	3388	21712
108	3410	21619
109	3433	21538
110	3458	21467
111	3480	21379
112	3509	21333
113	3536	21281
114	3559	21204
115	3593	21191
116	3632	21205
117	3663	21172
118	3690	21120
119	3716	21061
120	3749	21038
121	3781	21014
122	3818	21015
123	3841	20940
124	3872	20911
125	3894	20833
126	3928	20817
127	3977	20880
128	4061	21125
129	4090	21080
130	4113	21008
131	4135	20926
132	4157	20849
133	4177	20762
134	4201	20698
135	4222	20614
136	4244	20542
137	4266	20466
138	4286	20382
139	4306	20303
140	4327	20224
141	4350	20159
142	4372	20090
143	4394	20018
144	4418	19961
145	4442	19899
146	4464	19833
147	4490	19780
148	4516	19731
149	4544	19691
150	4570	19642
151	4597	19601
152	4622	19549
153	4650	19508
154	4678	19467
155	4707	19433
156	4733	19386
157	4761	19346
158	4784	19286
159	4807	19229
160	4833	19184
161	4862	19149
162	4942	19314
163	4973	19287
164	5002	19252
165	5033	19224
166	5074	19235
167	5102	19195
168	5130	19157
169	5158	19116
170	5183	19066
171	5216	19044
172	5244	19009
173	5272	18969
174	5298	18923
175	5325	18882
176	5386	18959
177	5419	18936
178	5442	18881
179	5467	18833
180	5490	18778
181	5524	18760
182	5547	18705
183	5575	18667
184	5598	18610
185	5623	18564
186	5648	18516
187	5672	18465
188	5703	18437
189	5730	18399
190	5769	18394
191	5808	18392
192	5839	18365
193	5871	18339
194	5894	18289
195	5917	18235
196	5938	18176
197	5960	18121
198	5984	18073
199	6008	18025
200	6033	17979
201	6059	17939
202	6083	17892
203	6109	17850
204	6139	17818
205	6195	17864
206	6231	17852
207	6320	17989
208	6360	17987
209	6391	17957
210	6420	17923
211	6448	17886
212	6479	17856
213	6503	17807
214	6522	17748
215	6545	17697
216	6566	17640
217	6588	17589
218	6609	17534
219	6630	17480
220	6652	17429
221	6674	17377
222	6700	17336
223	6721	17283
224	6743	17232
225	6766	17186
226	6798	17161
227	6824	17120
228	6846	17071
229	6868	17023
230	6892	16977
231	6915	16931
232	6940	16889
233	6964	16845
234	6986	16796
235	7004	16739
236	7024	16687
237	7051	16651
238	7074	16605
239	7095	16555
240	7114	16501
241	7134	16449
242	7156	16404
243	7179	16359
244	7200	16310
245	7221	16262
246	7242	16214
247	7264	16168
248	7289	16129
249	7315	16094
250	7341	16057
251	7416	16127
252	7439	16084
253	7468	16054
254	7491	16011
255	7514	15968
256	7534	15919
257	7556	15874
258	7577	15828
259	7599	15782
260	7621	15739
261	7641	15692
262	7660	15641
263	7680	15594
264	7701	15548
265	7721	15501
266	7747	15465
267	7774	15432
268	7795	15388
269	7817	15344
270	7837	15299
271	7859	15256
272	7885	15221
273	7907	15179
274	7929	15138
275	7951	15096
276	7973	15055
277	7993	15009
278	8013	14963
279	8033	14918
280	8056	14880
281	8080	14843
282	8101	14799
283	8122	14758
284	8143	14716
285	8166	14676
286	8187	14635
287	8208	14592
288	8230	14553
289	8251	14510
290	8271	14468
291	8292	14425
292	8312	14383
293	8334	14344
294	8354	14301
295	8373	14257
296	8393	14215
297	8414	14175
298	8434	14132
299	8457	14096
300	8481	14060
301	8504	14024
302	8523	13981
303	8545	13942
304	8565	13900
305	8586	13861
306	8606	13820
307	8625	13778
308	8645	13737
309	8665	13696
310	8684	13654
311	8704	13614
312	8722	13572
313	8742	13530
314	8762	13492
315	8783	13453
316	8804	13415
317	8828	13381
318	8847	13340
319	8867	13300
320	8888	13263
321	8913	13231
322	8933	13193
323	8955	13156
324	8974	13117
325	8996	13080
326	9018	13045
327	9037	13005
328	9060	12971
329	9081	12934
330	9102	12898
331	9124	12861
332	9145	12825
333	9166	12788
334	9189	12755
335	9208	12717
336	9228	12678
337	9247	12639
338	9266	12601
339	9287	12565
340	9309	12530
341	9330	12494
342	9351	12459
343	9372	12423
344	9392	12387
345	9411	12349
346	9432	12314
347	9452	12277
348	9473	12242
349	9493	12205
350	9513	12169
351	9536	12137
352	9563	12109
353	9586	12077
354	9609	12046
355	9632	12013
356	9653	11979
357	9674	11944
358	9697	11911
359	9716	11875
360	9736	11840
361	9757	11805
362	9777	11771
363	9798	11736
364	9823	11707
365	9845	11674
366	9866	11640
367	9887	11607
368	9908	11573
369	9931	11541
370	9953	11509
371	9974	11476
372	9997	11444
373	10044	11441
374	10073	11416
375	10094	11383
376	10116	11351
377	10137	11318
378	10158	11284
379	10181	11253
380	10202	11220
381	10222	11185
382	10244	11153
383	10296	11154
384	10327	11131
385	10348	11098
386	10368	11064
387	10389	11031
388	10410	10998
389	10429	10964
390	10450	10931
391	10469	10897
392	10489	10863
393	10509	10829
394	10531	10797
395	10552	10765
396	10572	10732
397	10594	10700
398	10614	10668
399	10635	10635
400	10656	10603
401	10676	10570
402	10699	10540
403	10721	10509
404	10741	10476
405	10760	10442
406	10780	10409
407	10801	10378
408	10825	10348
409	10847	10318
410	10870	10288
411	10891	10257
412	10914	10227
413	10940	10200
414	10960	10167
415	10984	10139
416	11006	10109
417	11026	10077
418	11051	10049
419	11073	10019
420	11096	9989
421	11120	9961
422	11141	9929
423	11164	9900
424	11190	9874
425	11213	9844
426	11237	9816
427	11261	9788
428	11283	9758
429	11305	9727
430	11325	9696
431	11347	9666
432	11370	9637
433	11391	9606
434	11412	9575
435	11434	9546
436	11457	9517
437	11480	9488
438	11500	9457
439	11520	9426
440	11540	9394
441	11558	9361
442	11579	9331
443	11599	9300
444	11619	9269
445	11640	9239
446	11659	9207
447	11679	9176
448	11698	9145
449	11717	9113
450	11738	9083
451	11759	9053
452	11777	9021
453	11796	8990
454	11818	8961
455	11839	8931
456	11861	8902
457	11884	8874
458	11905	8845
459	11926	8815
460	11946	8785
461	11966	8754
462	11987	8725
463	12007	8695
464	12028	8665
465	12051	8637
466	12073	8608
467	12091	8577
468	12112	8548
469	12134	8519
470	12154	8489
471	12173	8459
472	12192	8429
473	12215	8401
474	12233	8370
475	12254	8341
476	12275	8312
477	12296	8283
478	12316	8254
479	12337	8225
480	12356	8195
481	12377	8165
482	12399	8138
483	12419	8108
484	12442	8081
485	12464	8052
486	12484	8023
487	12503	7993
488	12522	7964
489	12541	7934
490	12563	7906
491	12584	7877
492	12602	7848
493	12622	7818
494	12642	7790
495	12663	7761
496	12682	7731
497	12702	7703
498	12722	7674
499	12740	7644
500	12760	7615
501	12781	7587
502	12801	7558
503	12823	7530
504	12844	7502
505	12863	7474
506	12884	7446
507	12905	7417
508	12928	7391
509	12947	7362
510	12970	7335
511	12992	7308
512	13012	7280
513	13034	7252
514	13054	7224
515	13075	7196
516	13096	7168
517	13117	7141
518	13141	7115
519	13163	7087
520	13189	7063
521	13221	7041
522	13287	7037
523	13322	7017
524	13343	6989
525	13367	6963
526	13466	6975
527	13497	6953
528	13526	6929
529	13551	6903
530	13574	6876
531	13595	6848
532	13618	6821
533	13639	6794
534	13663	6767
535	13683	6739
536	13703	6711
537	13722	6682
538	13742	6654
539	13760	6625
540	13781	6597
541	13801	6569
542	13821	6541
543	13842	6514
544	13862	6486
545	13882	6458
546	13902	6430
547	13922	6402
548	13946	6376
549	13969	6349
550	13993	6323
551	14014	6296
552	14033	6268
553	14054	6241
554	14074	6212
555	14095	6185
556	14115	6157
557	14136	6130
558	14157	6103
559	14178	6076
560	14198	6048
561	14221	6022
562	14241	5994
563	14265	5969
564	14285	5941
565	14306	5914
566	14327	5887
567	14349	5861
568	14375	5835
569	14397	5809
570	14418	5782
571	14437	5754
572	14459	5728
573	14478	5700
574	14505	5675
575	14525	5648
576	14545	5621
577	14564	5594
578	14585	5567
579	14607	5540
580	14626	5513
581	14646	5486
582	14666	5459
583	14687	5432
584	14706	5404
585	14725	5377
586	14745	5350
587	14764	5323
588	14784	5296
589	14805	5269
590	14827	5243
591	14850	5217
592	14870	5190
593	14890	5163
594	14909	5137
595	14929	5110
596	14951	5083
597	14971	5057
598	14991	5030
599	15011	5003
600	15031	4977
601	15053	4951
602	15075	4925
603	15096	4898
604	15123	4874
605	15145	4848
606	15165	4822
607	15185	4795
608	15206	4769
609	15227	4742
610	15246	4716
611	15265	4689
612	15282	4662
613	15301	4635
614	15320	4608
615	15341	4582
616	15361	4556
617	15382	4530
618	15402	4503
619	15422	4477
620	15441	4451
621	15465	4425
622	15485	4399
623	15507	4373
624	15530	4348
625	15553	4323
626	15580	4298
627	15618	4277
628	15687	4264
629	15715	4240
630	15736	4214
631	15764	4190
632	15785	4164
633	15815	4140
634	15844	4117
635	15869	4092
636	15891	4066
637	15913	4040
638	15934	4014
639	15953	3988
